"id","name","code","account_type","reconcile","description"
"account_101","Efectivo en Caja","101","asset_cash","True","Rango oficial: 101 a 108. Representan las existencias de medios monetarios y valores depositados en las cajas de la entidad. Comprenden entre otros: Efectivo para pagos menores, para cambios, fondo fijo para atenciones específicas u otros destinos, así como los importes que se ingresan en la caja, para ser depositados en las cuentas bancarias correspondientes o para pagos de nóminas. Incluyen las existencias de sellos adquiridos para uso de la entidad, tarjetas prepagadas de combustibles, bonos de combustible, bonos de pasajes en ómnibus y los cheques recibidos en divisas por la entidad y se registran por la tasa de cambio vigente, y cheques recibidos en moneda nacional. Se debitan al crear los fondos o al aumentarlos, así como por los cobros en efectivo pendientes de depositar en la sucursal bancaria, por los importes de los sellos comprados que se encuentran en existencia y por los cheques recibidos, por las tarjetas prepagadas de combustibles y se acreditan por las rebajas, utilización o cancelación de los fondos y por los depósitos efectuados en las cuentas bancarias de la entidad."
"account_109","Efectivo en Banco y en Otras Instituciones","109","asset_cash","True","Rango oficial: 109 a 119. Representan las existencias de los medios monetarios depositados en las cuentas bancarias o en otras instituciones financieras autorizadas. Comprenden todas las cuentas bancarias que se operan ya sean en moneda nacional como extranjera. Incluye los recursos depositados en otras entidades y en instituciones financieras, sin carácter de inversiones temporales. Se debitan por los depósitos de efectivo, cheques u otros documentos que representen efectivo y se acreditan por las extracciones y pagos efectuados y se analiza por cuentas bancarias."
"account_120","Inversiones a Corto Plazo o Temporales","120","asset_current","False","Rango oficial: 120 a 129. Representan la utilización del efectivo temporalmente libre, procedente de las operaciones de la entidad. Las características de estas inversiones de carácter financiero son su capacidad de ser negociables y su disponibilidad para su uso en el pago de los Pasivos Circulantes. Comprenden, entre otros, los depósitos a plazos fijos en instituciones bancarias o financieras no bancarias, la compra de valores negociables, las inversiones financieras. Se incluyen los contratos de préstamos de las empresas de seguros con instituciones financieras no bancarias y otras modalidades de inversión de recursos temporales aprobados en la legislación vigente con estas entidades. Se debitan por los depósitos a plazos fijos efectuados o los importes de las inversiones efectuadas en valores negociables y se acreditan por la venta de dichos valores cuando se decida negociarlos o se retiren los depósitos a plazos fijos."
"account_130_0010","Efectos por Cobrar a Corto Plazo - Dentro del Órgano u Organismo","130.0010","asset_current","True","Rango oficial: 130 a 133. Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal. Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes. Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio y por clientes."
"account_130_0020","Efectos por Cobrar a Corto Plazo - Fuera del Órgano u Organismo","130.0020","asset_current","True","Rango oficial: 130 a 133. Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal. Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes. Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio y por clientes."
"account_130_0030","Efectos por Cobrar a Corto Plazo - En el Extranjero","130.0030","asset_current","True","Rango oficial: 130 a 133. Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal. Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes. Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio y por clientes."
"account_130_0040","Efectos por Cobrar a Corto Plazo - Dentro del Grupo Empresarial","130.0040","asset_current","True","Rango oficial: 130 a 133. Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal. Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes. Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio y por clientes."
"account_130_0050","Efectos por Cobrar a Corto Plazo - Sector Cooperativo","130.0050","asset_current","True","Rango oficial: 130 a 133. Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal. Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes. Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio y por clientes."
"account_130_0060","Efectos por Cobrar a Corto Plazo - Personas Naturales","130.0060","asset_current","True","Rango oficial: 130 a 133. Representan los documentos mercantiles de crédito recibidos y que están pendientes de cobro dentro de los términos vigentes, que no les permiten perder su respaldo legal. Comprenden, entre otros, las letras de cambio y los pagarés aceptados por los clientes. Se debitan por los documentos recibidos y se acreditan, al ser cobrados estos, por cancelaciones, los declarados en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio y por clientes."
"account_134","Cuenta en Participación","134","asset_current","False","Codigo oficial: 134. Comprende el importe de los contratos de asociación económica internacional desde su inicio hasta su liquidación cuando se decide llevarse por las dos partes del contrato. Debe analizarse por contrato, por socio o cliente. Se debitan por el aporte de la entidad, por el ingreso recibido por concepto de ventas asociadas al contrato y por los beneficios obtenidos de las operaciones de la asociación pendientes de cobro y se acreditan por los gastos en que incurren en el contrato, el pago de impuestos y contribuciones, la liquidación del contrato, la devolución de los aportes y el cobro de los beneficios en cada período o al liquidarse el contrato."
"account_135_0010","Cuentas por Cobrar a Corto Plazo - Dentro del Órgano u Organismo","135.0010","asset_receivable","True","Rango oficial: 135 a 139. Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_135_0020","Cuentas por Cobrar a Corto Plazo - Fuera del Órgano u Organismo","135.0020","asset_receivable","True","Rango oficial: 135 a 139. Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_135_0030","Cuentas por Cobrar a Corto Plazo - En el Extranjero","135.0030","asset_receivable","True","Rango oficial: 135 a 139. Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_135_0040","Cuentas por Cobrar a Corto Plazo - Dentro del Grupo Empresarial","135.0040","asset_receivable","True","Rango oficial: 135 a 139. Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_135_0050","Cuentas por Cobrar a Corto Plazo - Sector Cooperativo","135.0050","asset_receivable","True","Rango oficial: 135 a 139. Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_135_0060","Cuentas por Cobrar a Corto Plazo - Personas Naturales","135.0060","asset_receivable","True","Rango oficial: 135 a 139. Se registran en estas cuentas el importe de las ventas de productos y mercancías, el importe de los servicios prestados, incluyendo los asociados a la actividad de seguros, así como el valor de los trabajos ejecutados y de las Certificaciones de Avance de Obras facturados debiéndose analizar por clientes; considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones emitidas y se acreditan al cobrarse estas, por cancelaciones, las declaradas en proceso de litigio y de protesto. Se analiza por subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_140","Pagos por Cuenta de Terceros","140","asset_current","False","Codigo oficial: 140. Se registran en estas cuentas el importe de los pagos realizados por las entidades a cuenta de terceros según la legislación vigente. Debe analizarse por clientes, considerando cada documento emitido y cobrado. Se debitan por las Facturas o Certificaciones recibidas por las entidades y se acreditan al refacturarse a terceros, por cancelaciones, los declarados en proceso de litigio y de protesto."
"account_141","Participación de Reaseguradores por Siniestros Pendientes","141","asset_current","False","Codigo oficial: 141. Se registra en esta cuenta el importe que debe recibirse de las entidades reaseguradoras por su participación en los siniestros. Se debitan por las Facturas presentadas a las entidades reaseguradoras y se acreditan al cobrarse estas, por cancelaciones y las declaradas en proceso de litigio."
