"id","name","code","account_type","reconcile","description"
"account_private_600","Patrimonio y Fondo Común","600","equity","False","Codigo oficial: 600. Representa el valor de los Activos Fijos Tangibles, la tasación de las tierras, siembras, construcciones, maquinarias, equipos, implementos agrícolas, equipos de riego, inventarios y otros medios aportados por los cooperativistas a las Cooperativas de Producción Agropecuaria al constituirse estas o posteriormente. Se excluyen del concepto anterior, los Activos Fijos Tangibles, Inventarios y Otros Activos entregados a las Unidades Básicas de Producción Agropecuaria, al constituirse estas, que no se consideran Patrimonio por financiarse por el crédito para la dotación inicial entregado por el Banco Nacional de Cuba. En el caso de las Cooperativas, esta cuenta recibe aumentos por los siguientes conceptos en dependencia de las operaciones que puedan ir surgiendo: • Avalúo o tasación que incrementa el valor de los activos fijos tangibles cuando no se consideran ingresos financieros sino Patrimonio por reevaluación por decisión de la Junta Directiva. • Compra de Activos Fijos Tangibles y ejecución de inversiones materiales que se capitalizan por adquirirse a través de las reservas patrimoniales para el desarrollo y compra de activos fijos tangibles e inversiones. • Por los sobrantes de Activos Fijos Tangibles que después de haberse investigado se decide asumirlos en la entidad. • Gastos diferidos a largo plazo procedentes de proyectos, construcciones y otras inversiones materiales en procesos descontinuados por no continuarse las obras o proyectos. • Inversiones financieras que en un futuro pudieran ejecutarse en otras empresas por la adquisición de acciones de capital de acuerdo con la Legislación vigente. • Por la utilización de reservas patrimoniales, por el desarrollo de actividades culturales, recreativas y deportivas realizadas por las cooperativas. • Por otros conceptos de aumentos. En el caso de las Cooperativas, esta cuenta recibe disminuciones por los siguientes conceptos en dependencia de las operaciones que puedan ir surgiendo: • Avalúo o tasación que disminuye el valor de los activos fijos tangibles capitalizados en virtud de reevaluaciones autorizadas por la Junta Directiva o adquiridos mediante la reserva patrimonial para desarrollo y compra de Activos Fijos Tangibles e Inversiones. • Amortización de gastos diferidos a largo plazo, por concepto de proyectos, construcciones y otras inversiones materiales en proceso descontinuados por no continuarse las obras y que fueron capitalizados oportunamente y no se cargan al costo de producción de la cooperativa. • Liquidación de inversiones financieras que de acuerdo a la Legislación vigente pudieran haberse efectuado en otras empresas. • Por la baja de activos fijos tangibles capitalizados en esta cuenta por su valor registrado en libros, ya sea el original o esté incrementado por avalúos o tasaciones. • Por el importe de los activos menos los pasivos registrados en libros al disolverse la cooperativa por decisión de la Comisión Liquidadora. • Por otros conceptos de disminuciones. En el caso de las Unidades Básicas de Producción Cooperativa, esta cuenta recibe aumentos por los siguientes conceptos en dependencia de las operaciones que pueda ir surgiendo: • Avalúo o tasación que incrementa el valor de los activos fijos tangibles cuando no se consideran ingresos financieros sino Patrimonio por reevaluación por decisión de la Junta Directiva. • Compra de Activos Fijos Tangibles y ejecución de inversiones materiales que se capitalizan por adquirirse a través de las reservas patrimoniales para adquisición de activos fijos tangibles e inventarios, para la construcción de viviendas, para la construcción de instalaciones productivas y sociales. • Gastos diferidos a largo plazo procedentes de proyectos, construcciones y otras inversiones materiales en proceso descontinuados por no continuarse las obras o proyectos. • Inversiones financieras que en un futuro pudieran ejecutarse en otras empresas por la adquisición de acciones de capital de acuerdo con la Legislación vigente. • Por la utilización de reservas patrimoniales, por el desarrollo de actividades culturales, recreativas y deportivas realizadas por la UBPC a cuenta de la reserva de estímulos. • Por los sobrantes de Activos Fijos Tangibles que después de haberse investigado se decide asumirlos en la entidad. • Por otros conceptos de aumentos. En el caso de las Unidades Básicas de Producción Cooperativas, esta cuenta recibe disminuciones por los siguientes conceptos en dependencia de las operaciones que puedan ir surgiendo: • Avalúo o tasación que disminuye el valor de los activos fijos tangibles capitalizados en virtud de reevaluaciones autorizadas por la Junta directiva o adquiridos mediante las reservas patrimoniales para adquisición de Activos Fijos Tangibles e Inversiones, para la construcción de viviendas, instalaciones productivas y sociales. • Amortización de gastos diferidos a largo plazo, por concepto de proyectos, construcciones y otras inversiones materiales en proceso descontinuados por no continuarse las obras y que fueron capitalizados oportunamente y no se cargan al costo de producción de la UBPC. • Liquidación de inversiones financieras que de acuerdo a la Legislación vigente pudieran haberse efectuado en otras empresas. • Por la baja de activos fijos tangibles capitalizados en esta cuenta por su valor registrado en libros, ya sea el original o esté incrementando por avalúos o tasaciones. • Por el importe de los activos menos los pasivos registrados en libros al disolverse la UBPC por la decisión de la comisión Liquidadora. • Por los conceptos de disminuciones. El saldo de esta cuenta representa el patrimonio de la CPA o UBPC. Este rango de cuentas se utilizará para registrar el Patrimonio de aquellas entidades privadas que no están constituidas por acciones. Incluye las cooperativas no agropecuarias. Se acreditan por los conceptos acreedores que aparecen en el contenido de la cuenta. Se debitan por los conceptos deudores que aparecen en el contenido de la cuenta."
"account_private_601","Capital Social Autorizado","601","equity","False","Rango oficial: 601 a 603. Representa el capital en acciones a su valor nominal autorizado en la escritura de constitución. Se acreditan por valor total autorizado y permanece en libros como constancia de esta autorización y se debitan cuando se decide reducirlo mediante escritura de constitución."
"account_private_604","Acciones por Emitir","604","equity","False","Rango oficial: 604 a 606. Su saldo representa el total de acciones autorizadas no emitidas a su valor nominal. Se debitan por el monto del Capital Autorizado según escritura de constitución al crearse la Sociedad Anónima y se acreditan al emitirse las acciones con cargo a Efectivo o a otros activos recibidos."
"account_private_607","Acciones Suscritas","607","equity","False","Rango oficial: 607 a 609. Surge como contrapartida de la cuenta Suscriptores de Acciones cuando se acepta el compromiso de pago aplazado de las acciones autorizadas a su valor nominal. Se acreditan cuando se crea el compromiso de adquisición y se debitan cuando se han realizado todos los pagos parciales contra la cuenta de Acciones por Emitir pues es el momento en que se consideran emitidas."
"account_private_610","Subscriptores de Acciones","610","equity","False","Codigo oficial: 610. Se registra en esta cuenta el importe del compromiso de pagar a plazos, un monto determinado de las acciones autorizadas, cuyos certificados no se emiten hasta que no hayan sido pagadas totalmente. Se debitan cuando se crea el compromiso de pago aplazado, es decir en el momento en que se suscriben y se acreditan cuando se reciben los pagos parciales, hasta su pago total."
"account_private_611","Acciones en Tesorería","611","equity","False","Rango oficial: 611 a 612. Representa el valor de la compra de acciones emitidas por la sociedad, las cuales no se tiene la intención de retirar sino de guardar en tesorería. No constituyen un activo pues la empresa no puede poseer una parte de ella misma por lo que se restan en la Sección de Capital del Estado de Situación. Se debitan cuando se adquieren por su valor nominal y se acreditan cuando se decide venderlas o cancelarlas."
"account_private_613","Revalorización de Activos Fijos Tangibles","613","equity","False","Rango oficial: 613 a 615. Comprende el importe de la Reevaluación de activos que implica un incremento del valor. Se acreditan por el incremento de valor actual de los Activos Fijos Tangibles como resultado de un avalúo o por decisiones estatales y se debitan al capitalizarse."
"account_private_616","Otras Operaciones de Capital","616","equity","False","Rango oficial: 616 a 619. Comprende el importe de otras operaciones de capital, como es el caso de las operaciones entre subsidiarias y sucursales con la casa matriz, el cierre de las operaciones entre dependencias en aquellas sucursales de sociedades mercantiles ciento por ciento cubanas que tienen la contabilidad descentralizada entre otros. Considera las disminuciones del valor de los Activos Fijos Tangibles resultante de los avalúos. Se acreditan por el importe de otras operaciones de capital y revaluaciones que incrementen el patrimonio y se debitan por otras operaciones que disminuyan el patrimonio."
"account_private_620","Donaciones Recibidas-Nacionales","620","equity","False","Codigo oficial: 620. Ver uso y contenido definido anteriormente en Patrimonio Neto Sector Público."
"account_private_621","Donaciones Recibidas-Exterior","621","equity","False","Codigo oficial: 621. Ver uso y contenido definido anteriormente en Patrimonio Neto Sector Público."
