"id","name","code","account_type","reconcile","description"
"account_public_600","Inversión Estatal","600","equity","False","Rango oficial: 600 a 612. En estas cuentas se registran los recursos asignados por el Estado a la entidad para desarrollar sus actividades económicas, tanto al crearse esta como posteriormente, incluyendo los correspondientes a la utilización de las reservas patrimoniales creadas. Es preciso establecer en estas cuentas análisis que permitan determinar claramente los conceptos de sus movimientos. Al final del ejercicio económico, recibe los saldos de las cuentas Operaciones entre dependencias, Recursos Recibidos y Donaciones Recibidas. Se acreditan por conceptos tales como: Asignación de Activos Fijos Tangibles e Inventarios, Sobrantes de Activos Fijos Tangibles cuyas causas no puedan determinarse, adquisición de activos fijos cuando es financiado con recursos descentralizados, utilización de las reservas patrimoniales creadas, aumento del capital de trabajo, recepción autorizada de activos fijos de otras entidades, recepción de recursos y de inversiones materiales en proceso para su conclusión por reestructuración administrativa, entre otros. Se debitan por las operaciones siguientes: Traslados por entregas autorizadas de Activos Fijos Tangibles a otras entidades, traslados por reestructuración administrativa de recursos e inversiones materiales en proceso pendientes de conclusión, exceso de liquidez que será aportado, disminución del valor de los Activos Fijos como resultado de un avalúo, entre otras."
"account_public_613","Revalorización de Activos Fijos Tangibles","613","equity","False","Rango oficial: 613 a 615. Comprende el importe de la Reevaluación de activos que implica un incremento del valor. Se acreditan por el incremento de valor actual de los Activos Fijos Tangibles como resultado de un avalúo y se debitan al capitalizarse."
"account_public_617","Recursos Recibidos","617","equity","False","Rango oficial: 617 a 618. Representa los recursos recibidos del Presupuesto del Estado con destino a financiar los gastos aprobados de Capital. Se acreditan por los depósitos recibidos directamente del Presupuesto del Estado y se debitan por el traslado de su saldo, al final del ejercicio contable al rango de cuenta de Inversión Estatal."
"account_public_619_0010","Recursos Entregados - Minoración de Fondos","619.0010","equity","False","Codigo oficial: 619. Representa la salida de recursos financieros en que se incurre con destino a aminorar los fondos del Presupuesto del Estado asignados. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en este clasificador. Se debita por la entrega de recursos financieros y se acredita por el traslado de su saldo al final del ejercicio contable a la cuenta Inversión Estatal."
"account_public_620_0010","Donaciones Recibidas-Nacionales - Activos Fijos Tangibles","620.0010","equity","False","Codigo oficial: 620. Comprenden los activos fijos recibidos para la entidad de personas naturales cubanas, del órgano u organismo superior de organizaciones y entidades sin obligación de pago y las monetarias o en especie que se reciban para entregar a otras entidades que participan en el proyecto de donación. Se acreditan por la recepción de Activos Fijos Tangibles y por los recursos monetarios o en especie que se reciben para entregar a otras entidades, o financiar la adquisición de Activos Fijos Tangibles. Se debitan al cierre del año contra el rango de cuenta Otras Operaciones de Capital o contra el rango de cuenta de Inversión Estatal. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_public_620_0020","Donaciones Recibidas-Nacionales - Activos Fijos Intangibles","620.0020","equity","False","Codigo oficial: 620. Comprenden los activos fijos recibidos para la entidad de personas naturales cubanas, del órgano u organismo superior de organizaciones y entidades sin obligación de pago y las monetarias o en especie que se reciban para entregar a otras entidades que participan en el proyecto de donación. Se acreditan por la recepción de Activos Fijos Tangibles y por los recursos monetarios o en especie que se reciben para entregar a otras entidades, o financiar la adquisición de Activos Fijos Tangibles. Se debitan al cierre del año contra el rango de cuenta Otras Operaciones de Capital o contra el rango de cuenta de Inversión Estatal. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_public_620_0030","Donaciones Recibidas-Nacionales - Medios Monetarios","620.0030","equity","False","Codigo oficial: 620. Comprenden los activos fijos recibidos para la entidad de personas naturales cubanas, del órgano u organismo superior de organizaciones y entidades sin obligación de pago y las monetarias o en especie que se reciban para entregar a otras entidades que participan en el proyecto de donación. Se acreditan por la recepción de Activos Fijos Tangibles y por los recursos monetarios o en especie que se reciben para entregar a otras entidades, o financiar la adquisición de Activos Fijos Tangibles. Se debitan al cierre del año contra el rango de cuenta Otras Operaciones de Capital o contra el rango de cuenta de Inversión Estatal. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_public_620_0040","Donaciones Recibidas-Nacionales - Insumos","620.0040","equity","False","Codigo oficial: 620. Comprenden los activos fijos recibidos para la entidad de personas naturales cubanas, del órgano u organismo superior de organizaciones y entidades sin obligación de pago y las monetarias o en especie que se reciban para entregar a otras entidades que participan en el proyecto de donación. Se acreditan por la recepción de Activos Fijos Tangibles y por los recursos monetarios o en especie que se reciben para entregar a otras entidades, o financiar la adquisición de Activos Fijos Tangibles. Se debitan al cierre del año contra el rango de cuenta Otras Operaciones de Capital o contra el rango de cuenta de Inversión Estatal. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_public_620_0050","Donaciones Recibidas-Nacionales - Otros","620.0050","equity","False","Codigo oficial: 620. Comprenden los activos fijos recibidos para la entidad de personas naturales cubanas, del órgano u organismo superior de organizaciones y entidades sin obligación de pago y las monetarias o en especie que se reciban para entregar a otras entidades que participan en el proyecto de donación. Se acreditan por la recepción de Activos Fijos Tangibles y por los recursos monetarios o en especie que se reciben para entregar a otras entidades, o financiar la adquisición de Activos Fijos Tangibles. Se debitan al cierre del año contra el rango de cuenta Otras Operaciones de Capital o contra el rango de cuenta de Inversión Estatal. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
"account_public_621_0010","Donaciones Recibidas-Exterior - Activos Fijos Tangibles","621.0010","equity","False","Codigo oficial: 621. Comprenden los Activos Fijos recibidos por la entidad de personas naturales, organizaciones o gobiernos extranjeros y entidades, sin obligación de pago, y las monetarias o en especie que se reciban para entregar a otras entidades que participan en el proyecto de donación. Se acreditan por la recepción de Activos Fijos Tangibles, por los recursos monetarios o en especie que se reciben para entregar a otras entidades, o financiar la adquisición de Activos Fijos Tangibles. Se debitan al cierre del año contra el rango de cuenta Otras Operaciones de Capital o contra el rango de cuenta de Inversión Estatal. Esta cuenta se analiza por las subcuentas de uso obligatorio definidas en el nomenclador de cuentas."
