"id","code_prefix_start","code_prefix_end","name"
"group_10","1","3","ACTIVOS"
"group_10_1","100","211","ACTIVOS CIRCULANTES"
"group_10_2","215","234","ACTIVO A LARGO PLAZO"
"group_10_3","240","292","ACTIVOS FIJOS"
"group_10_4","300","312","ACTIVOS DIFERIDOS"
"group_10_5","330","364","OTROS ACTIVOS"
"group_10_6","365","399","CUENTAS REGULADORAS DE ACTIVOS"
"group_20","4","5","PASIVOS"
"group_20_1","400","501","PASIVOS CIRCULANTES"
"group_20_2","510","541","PASIVOS A LARGO PLAZO"
"group_20_3","545","549","PASIVOS DIFERIDOS"
"group_20_4","555","575","OTROS PASIVOS"
"group_40","7","7","GASTOS DE PRODUCCION"
"group_50","8","9","CUENTAS NOMINALES"
"group_50_1","800","873","CUENTAS NOMINALES DEUDORAS"
"group_50_2","900","953","CUENTAS NOMINALES ACREEDORAS"
"group_60","999","999","CUENTA DE CIERRE"
