"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","fiscal_position_ids","original_tax_ids","repartition_line_ids/document_type","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/account_id"
"tax_iventas_10","I. Ventas 10% (minorista)","Impuesto sobre las Ventas, tarifa minorista 10%. Base legal: beneficio bruto minorista (Ley 113/2012, arts. 92 y 93). En factura se aplica sobre el importe de la linea: registre el precio de forma que la base sea el beneficio bruto.","I. Ventas 10%","10.0","percent","sale","tgrp_iventas","","","invoice","100","base",""
"","","","","","","","","","","invoice","","tax","account_440_0001"
"","","","","","","","","","","refund","100","base",""
"","","","","","","","","","","refund","","tax","account_440_0001"
"tax_iventas_2","I. Ventas 2% (mayorista)","Impuesto sobre las Ventas, tarifa mayorista 2% sobre el importe de la venta de mercancias (Ley 113/2012).","I. Ventas 2%","2.0","percent","sale","tgrp_iventas","","","invoice","100","base",""
"","","","","","","","","","","invoice","","tax","account_440_0001"
"","","","","","","","","","","refund","100","base",""
"","","","","","","","","","","refund","","tax","account_440_0001"
"tax_exento_0_venta","Exento 0% (ventas)","Impuesto neutro 0% para ventas no gravadas o exentas. Es el destino de la posicion fiscal de ventas mayoristas (Ley 113/2012, art. 94).","Exento 0%","0.0","percent","sale","tgrp_iventas","","tax_iventas_10,tax_iventas_2","invoice","100","base",""
"","","","","","","","","","","invoice","","tax",""
"","","","","","","","","","","refund","100","base",""
"","","","","","","","","","","refund","","tax",""
"tax_exento_0","Exento 0%","Impuesto neutro 0% para operaciones exentas o no gravadas. Es el impuesto de compra por defecto para no aplicar retenciones indebidas.","","0.0","percent","purchase","tgrp_is","","","invoice","100","base",""
"","","","","","","","","","","invoice","","tax","account_440_0005"
"","","","","","","","","","","refund","100","base",""
"","","","","","","","","","","refund","","tax","account_440_0005"
"tax_reten_is_5","Retención IS 5% (TCP)","Retencion del Impuesto sobre los Ingresos Personales, 5% en pagos a personas naturales por trabajo por cuenta propia. Se ingresa al Presupuesto del Estado (440.0005). Aplicar manualmente en la factura de compra correspondiente.","Retención IS 5%","5.0","percent","purchase","tgrp_is","","","invoice","100","base",""
"","","","","","","","","","","invoice","","tax","account_440_0005"
"","","","","","","","","","","refund","100","base",""
"","","","","","","","","","","refund","","tax","account_440_0005"
